iter	Passed	Remaining
408	4912	1093
409	4925	1081
410	4936	1068
411	4947	1056
412	4959	1044
413	4971	1032
414	4982	1020
415	4992	1008
416	5003	995
417	5014	983
418	5025	971
419	5036	959
420	5047	947
421	5058	935
422	5069	922
423	5081	910
424	5093	898
425	5104	886
426	5115	874
427	5126	862
428	5137	850
429	5148	838
430	5159	826
431	5170	813
432	5181	801
433	5193	789
434	5205	777
435	5215	765
436	5226	753
437	5237	741
438	5249	729
439	5260	717
440	5270	705
441	5281	693
442	5293	681
443	5304	669
444	5317	657
445	5327	645
446	5338	633
447	5349	620
448	5361	608
449	5372	596
450	5383	584
451	5395	572
452	5407	561
453	5418	549
454	5429	537
455	5441	525
456	5452	513
457	5464	501
458	5475	489
459	5486	477
460	5497	465
461	5508	453
462	5519	441
463	5531	429
464	5543	417
465	5555	405
466	5567	393
467	5579	381
468	5591	369
469	5603	357
470	5615	345
471	5626	333
472	5639	321
473	5651	309
474	5662	298
475	5673	286
476	5684	274
477	5695	262
478	5707	250
479	5718	238
480	5728	226
481	5739	214
482	5750	202
483	5761	190
484	5772	178
485	5783	166
486	5794	154
487	5804	142
488	5816	130
489	5827	118
490	5838	107
491	5850	95
492	5864	83
493	5876	71
494	5888	59
495	5899	47
496	5912	35
497	5923	23
498	5935	11
499	5946	0
