iter	Logloss
206	0.474943161
207	0.4742502182
208	0.4734271216
209	0.4729485285
210	0.4725235833
211	0.4722816831
212	0.4718024844
213	0.4714956132
214	0.4711886815
215	0.4709364876
216	0.4699865069
217	0.4697762747
218	0.4694540841
219	0.4690333775
220	0.4687775506
221	0.4680958702
222	0.4674024733
223	0.4669417124
224	0.4665821923
225	0.4663566408
226	0.4655465928
227	0.4649967617
228	0.4647807772
229	0.4641870166
230	0.4636638581
231	0.4634134505
232	0.4630895948
233	0.462380606
234	0.4612166087
235	0.4608684116
236	0.4605430724
237	0.4601735917
238	0.4595585172
239	0.4591266693
240	0.4585516793
241	0.4583791097
242	0.4581376333
243	0.4571601323
244	0.4566279215
245	0.4562227158
246	0.4558790903
247	0.4557625301
248	0.4546593257
249	0.454166927
250	0.4539903913
251	0.4533586048
252	0.4531332955
253	0.4529033843
254	0.4522185855
255	0.4518970913
256	0.4517196776
257	0.4515529814
258	0.4512730553
259	0.4510377551
260	0.4507395426
261	0.45040942
262	0.4497854445
263	0.4494232904
264	0.4490620447
265	0.4485081869
266	0.4481570229
267	0.4473896935
268	0.4471011086
269	0.4465246655
270	0.445960393
271	0.4457554893
272	0.4454820421
273	0.4451270936
274	0.4442242214
275	0.4439436595
276	0.4435678815
277	0.4429891677
278	0.4428579845
279	0.4420658293
280	0.4413917178
281	0.4410929301
282	0.4407289596
283	0.4405525147
284	0.4403827909
285	0.4397356548
286	0.4395691402
287	0.4391045343
288	0.4388819195
289	0.4384317549
290	0.4374236152
291	0.4371710278
292	0.4360429673
293	0.4351431529
294	0.4348981948
295	0.4346873268
296	0.4339737665
297	0.4330018059
298	0.4323563954
299	0.431604779
300	0.4312321194
301	0.4307403564
302	0.4305895245
303	0.4300136869
304	0.4296567705
305	0.4294278887
306	0.4286055792
307	0.428211969
308	0.4279524788
309	0.4276860555
310	0.4274793352
311	0.4268595983
312	0.4266654121
313	0.4263648381
314	0.4257948739
315	0.4253987509
316	0.4250432575
317	0.4248025077
318	0.4246699621
319	0.4243517073
320	0.4239925808
321	0.4235903422
322	0.4233457777
323	0.4230043018
324	0.4222570147
325	0.421696678
326	0.4207838452
327	0.4203671047
328	0.4198600527
329	0.4194423736
330	0.4189735594
331	0.4187062581
332	0.4185022021
333	0.4183009011
334	0.4178211575
335	0.4170235528
336	0.4167248862
337	0.4163784451
338	0.4161967323
339	0.4155527751
340	0.415401156
341	0.4151151142
342	0.4150147514
343	0.4146094852
344	0.4140628633
345	0.4137842088
346	0.4135579306
347	0.4133308047
348	0.4125304752
349	0.4120154002
350	0.4108677213
351	0.4107521905
352	0.4101880089
353	0.4099915822
354	0.4098754762
355	0.4092756604
356	0.4090820494
357	0.4082434215
358	0.4066359202
359	0.4064138201
360	0.406181063
361	0.4060185448
362	0.405857722
363	0.4053808545
364	0.4051059541
365	0.4044900016
366	0.4043450128
367	0.4042480711
368	0.4037404136
369	0.4033677843
370	0.40280221
371	0.4025644878
372	0.4020683652
373	0.4018130227
374	0.4013705178
375	0.4005295284
376	0.4003397926
377	0.3999048869
378	0.399689962
379	0.3994605958
380	0.39907846
381	0.398812733
382	0.3983922686
383	0.3982514881
384	0.3980134328
385	0.3971127404
386	0.3969813756
387	0.3963796222
388	0.3959749918
389	0.3955562531
390	0.3947527144
391	0.3944532001
392	0.3941044883
393	0.3934740945
394	0.3928852687
395	0.3926748548
396	0.3925604442
397	0.392140222
398	0.3918916611
399	0.3916810656
400	0.3914123414
401	0.3909042601
402	0.3907378969
403	0.3905616639
404	0.3900933039
405	0.3896809533
406	0.3890987275
407	0.3888459281
408	0.387991769
409	0.3870726994
410	0.386658835
411	0.38601842
412	0.3858833313
413	0.3857126387
414	0.3854228126
415	0.3853472755
416	0.384986393
417	0.3846542419
418	0.3839662945
419	0.3833484347
420	0.3830417451
421	0.3820419009
422	0.3819656069
423	0.3812897395
424	0.3810216813
425	0.3806632511
426	0.38045974
427	0.3802969494
428	0.3800982521
429	0.3798652528
430	0.379635826
431	0.3792936537
432	0.3786200569
433	0.3784651378
434	0.3778577532
435	0.3771426488
436	0.3766415914
437	0.3764682649
438	0.3757344503
439	0.3755361163
440	0.3753623962
441	0.3750665453
442	0.3749145629
443	0.373788985
444	0.3736172025
445	0.3724719456
446	0.371837616
447	0.3716976832
448	0.3715034364
449	0.3710691058
450	0.3708066183
451	0.3703924209
452	0.3701188829
453	0.3699749841
454	0.3690754118
455	0.3689507984
456	0.3687953949
457	0.3685240973
458	0.3680659703
459	0.3676642766
460	0.3670364259
461	0.3662569561
462	0.3659510537
463	0.3657944694
464	0.3656641339
465	0.3655113039
466	0.3653111836
467	0.3651915353
468	0.3649878123
469	0.3644835457
470	0.3638065278
471	0.3635408311
472	0.3633501568
473	0.3628168863
474	0.3622332376
475	0.3614949423
476	0.3609188019
477	0.3603595552
478	0.36028093
479	0.3595072428
480	0.3589604696
481	0.3587135133
482	0.3584654066
483	0.3582945324
484	0.3580187237
485	0.3577864813
486	0.3574936276
487	0.3569691068
488	0.3560299646
489	0.3558970557
490	0.355086705
491	0.3542180137
492	0.3540528313
493	0.3537501683
494	0.3533768124
495	0.3529144166
496	0.3528100574
497	0.3526904999
498	0.352418506
499	0.3517683726
